Name,Value,Quantity,Notes
Vero Board,,1,
"C1, C3, C5, C8, C13",0.1uF 63V,5,
"C2, C4",1uF 63V,2,
"C6, C7",0.1uF,2,
C9,0.04uF,1,
"C10, C11, C12",560pF,3,
"D1, D2, D3, D4",1N914,4,
"Q1, Q2, Q3, Q4",2N5088,4,
"R2, R8",39K,2,
"R3, R14, R16, R20",100K,4,
R4,3.3K,1,
R5,22K,1,
"R6, R11",15K,2,
R7,430K,1,
"R9, R15, R17",470K,3,
"R10, R21",150Ω,2,
"R12, R13, R18, R19",10K,4,
R22,120Ω,1,
R23,1K,1,
RECT1,,1,
